"Year","Region","Variable","Value","Log Scale"
1930,"Ontario","Provincial CPI (2021=100)",5.88665328212291,1.77268763280006
1931,"Ontario","Provincial CPI (2021=100)",5.10649441340782,1.63051314401952
1932,"Ontario","Provincial CPI (2021=100)",4.61002967877095,1.5282342948991
1933,"Ontario","Provincial CPI (2021=100)",4.61002967877095,1.5282342948991
1934,"Ontario","Provincial CPI (2021=100)",4.82280027932961,1.57335473017957
1935,"Ontario","Provincial CPI (2021=100)",5.10649441340782,1.63051314401952
1936,"Ontario","Provincial CPI (2021=100)",5.10649441340782,1.63051314401952
1937,"Ontario","Provincial CPI (2021=100)",5.31926501396648,1.67133513853978
1938,"Ontario","Provincial CPI (2021=100)",5.17741794692737,1.64430646615186
1939,"Ontario","Provincial CPI (2021=100)",5.46111208100559,1.69765244685715
1940,"Ontario","Provincial CPI (2021=100)",5.60295914804469,1.72329487747049
1941,"Ontario","Provincial CPI (2021=100)",5.88665328212291,1.77268763280006
1942,"Ontario","Provincial CPI (2021=100)",6.24127094972067,1.83118383948167
1943,"Ontario","Provincial CPI (2021=100)",6.24127094972067,1.83118383948167
1944,"Ontario","Provincial CPI (2021=100)",6.31219448324022,1.84248339473561
1945,"Ontario","Provincial CPI (2021=100)",6.31219448324022,1.84248339473561
1946,"Ontario","Provincial CPI (2021=100)",6.59588861731844,1.88644651815672
1947,"Ontario","Provincial CPI (2021=100)",7.23420041899441,1.97881983828774
1948,"Ontario","Provincial CPI (2021=100)",8.1562063547486,2.09877915336672
1949,"Ontario","Provincial CPI (2021=100)",8.43990048882682,2.132970518115
1950,"Ontario","Provincial CPI (2021=100)",8.79451815642458,2.1741285906085
1951,"Ontario","Provincial CPI (2021=100)",9.71652409217877,2.27382795083159
1952,"Ontario","Provincial CPI (2021=100)",9.92929469273743,2.29548944761277
1953,"Ontario","Provincial CPI (2021=100)",9.85837115921788,2.28832095813416
1954,"Ontario","Provincial CPI (2021=100)",10.000218226257,2.30260691538163
1955,"Ontario","Provincial CPI (2021=100)",10.000218226257,2.30260691538163
1956,"Ontario","Provincial CPI (2021=100)",10.2129888268156,2.32366032457947
1957,"Ontario","Provincial CPI (2021=100)",10.5676064944134,2.35779333094893
1958,"Ontario","Provincial CPI (2021=100)",10.8513006284916,2.3842849463959
1959,"Ontario","Provincial CPI (2021=100)",10.9222241620112,2.3907996274171
1960,"Ontario","Provincial CPI (2021=100)",10.9931476955307,2.39727214192271
1961,"Ontario","Provincial CPI (2021=100)",11.0640712290503,2.403703032253
1962,"Ontario","Provincial CPI (2021=100)",11.2059182960894,2.41644205803043
1963,"Ontario","Provincial CPI (2021=100)",11.3477653631285,2.42902084023729
1964,"Ontario","Provincial CPI (2021=100)",11.5605359636872,2.44759722581023
1965,"Ontario","Provincial CPI (2021=100)",11.8442300977654,2.47184083742022
1966,"Ontario","Provincial CPI (2021=100)",12.3406948324022,2.51290232421799
1967,"Ontario","Provincial CPI (2021=100)",12.6953125,2.54123283084422
1968,"Ontario","Provincial CPI (2021=100)",13.1917772346369,2.57959369871667
1969,"Ontario","Provincial CPI (2021=100)",13.7591655027933,2.62170518406679
1970,"Ontario","Provincial CPI (2021=100)",14.1137831703911,2.64715184972796
1971,"Ontario","Provincial CPI (2021=100)",14.3265537709497,2.66211472240467
1972,"Ontario","Provincial CPI (2021=100)",15.0357891061453,2.71043329967548
1973,"Ontario","Provincial CPI (2021=100)",16.2414891759777,2.78756902855771
1974,"Ontario","Provincial CPI (2021=100)",17.9436539804469,2.88723651373099
1975,"Ontario","Provincial CPI (2021=100)",19.8585893854749,2.98863662817272
1976,"Ontario","Provincial CPI (2021=100)",21.2770600558659,3.05762949965967
1977,"Ontario","Provincial CPI (2021=100)",22.9083013268156,3.13149934822612
1978,"Ontario","Provincial CPI (2021=100)",24.8941602653631,3.21463324846933
1979,"Ontario","Provincial CPI (2021=100)",27.2346368715084,3.30448957759119
1980,"Ontario","Provincial CPI (2021=100)",30.0279329608939,3.40212804715511
1981,"Ontario","Provincial CPI (2021=100)",33.659217877095,3.5162869525181
1982,"Ontario","Provincial CPI (2021=100)",37.2206703910615,3.61686426263334
1983,"Ontario","Provincial CPI (2021=100)",39.5251396648045,3.67693691667068
1984,"Ontario","Provincial CPI (2021=100)",41.4804469273743,3.72522215783015
1985,"Ontario","Provincial CPI (2021=100)",43.1564245810056,3.76483129592519
1986,"Ontario","Provincial CPI (2021=100)",45.1117318435754,3.8091423422501
1987,"Ontario","Provincial CPI (2021=100)",47.3463687150838,3.8574901264079
1988,"Ontario","Provincial CPI (2021=100)",49.5810055865922,3.90360780850286
1989,"Ontario","Provincial CPI (2021=100)",52.4441340782123,3.95974849023164
1990,"Ontario","Provincial CPI (2021=100)",54.9581005586592,4.0065710868849
1991,"Ontario","Provincial CPI (2021=100)",57.5418994413408,4.05251336837697
1992,"Ontario","Provincial CPI (2021=100)",58.1005586592179,4.06217527928871
1993,"Ontario","Provincial CPI (2021=100)",59.1480446927374,4.08004353311955
1994,"Ontario","Provincial CPI (2021=100)",59.1480446927374,4.08004353311955
1995,"Ontario","Provincial CPI (2021=100)",60.6145251396648,4.10453455312785
1996,"Ontario","Provincial CPI (2021=100)",61.5921787709497,4.12053489447429
1997,"Ontario","Provincial CPI (2021=100)",62.7094972067039,4.1385129067697
1998,"Ontario","Provincial CPI (2021=100)",63.268156424581,4.14738214451048
1999,"Ontario","Provincial CPI (2021=100)",64.5251396648045,4.16705491010918
2000,"Ontario","Provincial CPI (2021=100)",66.4106145251397,4.19585690101289
2001,"Ontario","Provincial CPI (2021=100)",68.4357541899441,4.22589541013212
2002,"Ontario","Provincial CPI (2021=100)",69.8324022346369,4.24609811744964
2003,"Ontario","Provincial CPI (2021=100)",71.7178770949721,4.27274004839606
2004,"Ontario","Provincial CPI (2021=100)",73.0446927374302,4.29107148309237
2005,"Ontario","Provincial CPI (2021=100)",74.6508379888268,4.31282174949255
2006,"Ontario","Provincial CPI (2021=100)",75.9776536312849,4.33043926588339
2007,"Ontario","Provincial CPI (2021=100)",77.3743016759776,4.34865470577473
2008,"Ontario","Provincial CPI (2021=100)",79.1201117318436,4.37096709949551
2009,"Ontario","Provincial CPI (2021=100)",79.3994413407821,4.37449133221804
2010,"Ontario","Provincial CPI (2021=100)",81.354748603352,4.3988192044673
2011,"Ontario","Provincial CPI (2021=100)",83.8687150837989,4.42925266054748
2012,"Ontario","Provincial CPI (2021=100)",85.0558659217877,4.44330828673734
2013,"Ontario","Provincial CPI (2021=100)",85.8938547486034,4.45311228683396
2014,"Ontario","Provincial CPI (2021=100)",87.9189944134078,4.47641587251185
2015,"Ontario","Provincial CPI (2021=100)",88.9664804469274,4.48825967459961
2016,"Ontario","Provincial CPI (2021=100)",90.572625698324,4.50615202278394
2017,"Ontario","Provincial CPI (2021=100)",92.108938547486,4.52297199118482
2018,"Ontario","Provincial CPI (2021=100)",94.2737430167598,4.54620270989998
2019,"Ontario","Provincial CPI (2021=100)",96.0195530726257,4.56455184856817
2020,"Ontario","Provincial CPI (2021=100)",96.6480446927374,4.57107597464512
2021,"Ontario","Provincial CPI (2021=100)",100,4.60517018598809
1867,"Manitoba","Provincial CPI (2021=100)",NA,NA
1868,"Manitoba","Provincial CPI (2021=100)",NA,NA
1869,"Manitoba","Provincial CPI (2021=100)",NA,NA
1870,"Manitoba","Provincial CPI (2021=100)",NA,NA
1871,"Manitoba","Provincial CPI (2021=100)",NA,NA
1872,"Manitoba","Provincial CPI (2021=100)",NA,NA
1873,"Manitoba","Provincial CPI (2021=100)",NA,NA
1874,"Manitoba","Provincial CPI (2021=100)",NA,NA
1875,"Manitoba","Provincial CPI (2021=100)",NA,NA
1876,"Manitoba","Provincial CPI (2021=100)",NA,NA
1877,"Manitoba","Provincial CPI (2021=100)",NA,NA
1878,"Manitoba","Provincial CPI (2021=100)",NA,NA
1879,"Manitoba","Provincial CPI (2021=100)",NA,NA
1880,"Manitoba","Provincial CPI (2021=100)",NA,NA
1881,"Manitoba","Provincial CPI (2021=100)",NA,NA
1882,"Manitoba","Provincial CPI (2021=100)",NA,NA
1883,"Manitoba","Provincial CPI (2021=100)",NA,NA
1884,"Manitoba","Provincial CPI (2021=100)",NA,NA
1885,"Manitoba","Provincial CPI (2021=100)",NA,NA
1886,"Manitoba","Provincial CPI (2021=100)",NA,NA
1887,"Manitoba","Provincial CPI (2021=100)",NA,NA
1888,"Manitoba","Provincial CPI (2021=100)",NA,NA
1889,"Manitoba","Provincial CPI (2021=100)",NA,NA
1890,"Manitoba","Provincial CPI (2021=100)",NA,NA
1891,"Manitoba","Provincial CPI (2021=100)",NA,NA
1892,"Manitoba","Provincial CPI (2021=100)",NA,NA
1893,"Manitoba","Provincial CPI (2021=100)",NA,NA
1894,"Manitoba","Provincial CPI (2021=100)",NA,NA
1895,"Manitoba","Provincial CPI (2021=100)",NA,NA
1896,"Manitoba","Provincial CPI (2021=100)",NA,NA
1897,"Manitoba","Provincial CPI (2021=100)",NA,NA
1898,"Manitoba","Provincial CPI (2021=100)",NA,NA
1899,"Manitoba","Provincial CPI (2021=100)",NA,NA
1900,"Manitoba","Provincial CPI (2021=100)",NA,NA
1901,"Manitoba","Provincial CPI (2021=100)",NA,NA
1902,"Manitoba","Provincial CPI (2021=100)",NA,NA
1903,"Manitoba","Provincial CPI (2021=100)",NA,NA
1904,"Manitoba","Provincial CPI (2021=100)",NA,NA
1905,"Manitoba","Provincial CPI (2021=100)",NA,NA
1906,"Manitoba","Provincial CPI (2021=100)",NA,NA
1907,"Manitoba","Provincial CPI (2021=100)",NA,NA
1908,"Manitoba","Provincial CPI (2021=100)",NA,NA
1909,"Manitoba","Provincial CPI (2021=100)",NA,NA
1910,"Manitoba","Provincial CPI (2021=100)",NA,NA
1911,"Manitoba","Provincial CPI (2021=100)",NA,NA
1912,"Manitoba","Provincial CPI (2021=100)",NA,NA
1913,"Manitoba","Provincial CPI (2021=100)",NA,NA
1914,"Manitoba","Provincial CPI (2021=100)",NA,NA
1915,"Manitoba","Provincial CPI (2021=100)",NA,NA
1916,"Manitoba","Provincial CPI (2021=100)",NA,NA
1917,"Manitoba","Provincial CPI (2021=100)",NA,NA
1918,"Manitoba","Provincial CPI (2021=100)",NA,NA
1919,"Manitoba","Provincial CPI (2021=100)",NA,NA
1920,"Manitoba","Provincial CPI (2021=100)",NA,NA
1921,"Manitoba","Provincial CPI (2021=100)",NA,NA
1922,"Manitoba","Provincial CPI (2021=100)",NA,NA
1923,"Manitoba","Provincial CPI (2021=100)",NA,NA
1924,"Manitoba","Provincial CPI (2021=100)",NA,NA
1925,"Manitoba","Provincial CPI (2021=100)",NA,NA
1926,"Manitoba","Provincial CPI (2021=100)",7.1830985915493,1.97173084867706
1927,"Manitoba","Provincial CPI (2021=100)",7.1830985915493,1.97173084867706
1928,"Manitoba","Provincial CPI (2021=100)",7.46478873239437,2.01019712950485
1929,"Manitoba","Provincial CPI (2021=100)",7.67605633802817,2.03810591762193
1930,"Manitoba","Provincial CPI (2021=100)",6.83098591549296,1.92146901389617
1931,"Manitoba","Provincial CPI (2021=100)",5.63380281690141,1.72878467006667
1932,"Manitoba","Provincial CPI (2021=100)",5,1.6094379124341
1933,"Manitoba","Provincial CPI (2021=100)",4.7887323943662,1.56626574056889
1934,"Manitoba","Provincial CPI (2021=100)",4.92957746478873,1.59525327744214
1935,"Manitoba","Provincial CPI (2021=100)",5.14084507042254,1.63721747654118
1936,"Manitoba","Provincial CPI (2021=100)",5.35211267605634,1.67749137567912
1937,"Manitoba","Provincial CPI (2021=100)",5.56338028169014,1.71620588785981
1938,"Manitoba","Provincial CPI (2021=100)",5.49295774647887,1.70346686208238
1939,"Manitoba","Provincial CPI (2021=100)",5.70422535211268,1.74120719006522
1940,"Manitoba","Provincial CPI (2021=100)",5.91549295774648,1.7775748342361
1941,"Manitoba","Provincial CPI (2021=100)",6.19718309859155,1.82409484987099
1942,"Manitoba","Provincial CPI (2021=100)",6.47887323943662,1.86854661244183
1943,"Manitoba","Provincial CPI (2021=100)",6.54929577464789,1.87935752854604
1944,"Manitoba","Provincial CPI (2021=100)",6.61971830985916,1.89005281766279
1945,"Manitoba","Provincial CPI (2021=100)",6.69014084507042,1.90063492699333
1946,"Manitoba","Provincial CPI (2021=100)",6.90140845070423,1.93172551406336
1947,"Manitoba","Provincial CPI (2021=100)",7.46478873239437,2.01019712950485
1948,"Manitoba","Provincial CPI (2021=100)",8.52112676056338,2.14254858098953
1949,"Manitoba","Provincial CPI (2021=100)",8.87323943661972,2.18303994234426
1950,"Manitoba","Provincial CPI (2021=100)",9.22535211267606,2.22195535859394
1951,"Manitoba","Provincial CPI (2021=100)",10.1408450704225,2.31657133496879
1952,"Manitoba","Provincial CPI (2021=100)",10.3521126760563,2.33719062217152
1953,"Manitoba","Provincial CPI (2021=100)",10.1408450704225,2.31657133496879
1954,"Manitoba","Provincial CPI (2021=100)",10.2816901408451,2.33036465710112
1955,"Manitoba","Provincial CPI (2021=100)",10.2816901408451,2.33036465710112
1956,"Manitoba","Provincial CPI (2021=100)",10.4225352112676,2.3439703091569
1957,"Manitoba","Provincial CPI (2021=100)",10.6338028169014,2.36403787220771
1958,"Manitoba","Provincial CPI (2021=100)",10.9154929577465,2.39018315231203
1959,"Manitoba","Provincial CPI (2021=100)",10.9859154929577,2.39661404264232
1960,"Manitoba","Provincial CPI (2021=100)",11.1971830985915,2.41566223761302
1961,"Manitoba","Provincial CPI (2021=100)",11.3380281690141,2.42816240037725
1962,"Manitoba","Provincial CPI (2021=100)",11.4788732394366,2.44050823619955
1963,"Manitoba","Provincial CPI (2021=100)",11.6197183098592,2.45270350929337
1964,"Manitoba","Provincial CPI (2021=100)",11.7605633802817,2.46475184780954
1965,"Manitoba","Provincial CPI (2021=100)",12.0422535211268,2.48842159189544
1966,"Manitoba","Provincial CPI (2021=100)",12.3943661971831,2.51724203043094
1967,"Manitoba","Provincial CPI (2021=100)",12.8169014084507,2.55076472246958
1968,"Manitoba","Provincial CPI (2021=100)",13.3802816901408,2.59378210755327
1969,"Manitoba","Provincial CPI (2021=100)",13.943661971831,2.63502506608732
1970,"Manitoba","Provincial CPI (2021=100)",14.4366197183099,2.66976801453119
1971,"Manitoba","Provincial CPI (2021=100)",14.5774647887324,2.67947682865815
1972,"Manitoba","Provincial CPI (2021=100)",15.2816901408451,2.72665538893324
1973,"Manitoba","Provincial CPI (2021=100)",16.3380281690141,2.79349540705909
1974,"Manitoba","Provincial CPI (2021=100)",18.0281690140845,2.89193547987235
1975,"Manitoba","Provincial CPI (2021=100)",20.2816901408451,3.00971851552873
1976,"Manitoba","Provincial CPI (2021=100)",21.9718309859155,3.08976122320227
1977,"Manitoba","Provincial CPI (2021=100)",23.8028169014084,3.1698039308758
1978,"Manitoba","Provincial CPI (2021=100)",25.7746478873239,3.24939136879415
1979,"Manitoba","Provincial CPI (2021=100)",28.169014084507,3.33822258250077
1980,"Manitoba","Provincial CPI (2021=100)",30.9859154929577,3.43353276230509
1981,"Manitoba","Provincial CPI (2021=100)",34.5070422535211,3.54116342649746
1982,"Manitoba","Provincial CPI (2021=100)",37.5352112676056,3.62527945955863
1983,"Manitoba","Provincial CPI (2021=100)",40,3.68887945411394
1984,"Manitoba","Provincial CPI (2021=100)",41.4788732394366,3.72518421904437
1985,"Manitoba","Provincial CPI (2021=100)",43.2394366197183,3.76675296353993
1986,"Manitoba","Provincial CPI (2021=100)",45.1408450704225,3.80978749231345
1987,"Manitoba","Provincial CPI (2021=100)",47.0422535211268,3.85104620892943
1988,"Manitoba","Provincial CPI (2021=100)",49.0140845070422,3.8921076957272
1989,"Manitoba","Provincial CPI (2021=100)",51.3380281690141,3.93843176740144
1990,"Manitoba","Provincial CPI (2021=100)",53.6619718309859,3.98270459107943
1991,"Manitoba","Provincial CPI (2021=100)",56.4084507042253,4.03261898246114
1992,"Manitoba","Provincial CPI (2021=100)",57.1830985915493,4.04625837555446
1993,"Manitoba","Provincial CPI (2021=100)",58.7323943661972,4.07299143775153
1994,"Manitoba","Provincial CPI (2021=100)",59.5774647887324,4.08727739499901
1995,"Manitoba","Provincial CPI (2021=100)",61.1971830985916,4.11410116065818
1996,"Manitoba","Provincial CPI (2021=100)",62.5352112676056,4.13572977838496
1997,"Manitoba","Provincial CPI (2021=100)",63.8028169014084,4.15579734143576
1998,"Manitoba","Provincial CPI (2021=100)",64.6478873239437,4.16895542601328
1999,"Manitoba","Provincial CPI (2021=100)",65.9154929577465,4.18837351187038
2000,"Manitoba","Provincial CPI (2021=100)",67.5352112676056,4.21264911027622
2001,"Manitoba","Provincial CPI (2021=100)",69.3661971830986,4.23939967656487
2002,"Manitoba","Provincial CPI (2021=100)",70.4225352112676,4.25451331437492
2003,"Manitoba","Provincial CPI (2021=100)",71.6901408450704,4.27235323250325
2004,"Manitoba","Provincial CPI (2021=100)",73.0985915492958,4.29180909911862
2005,"Manitoba","Provincial CPI (2021=100)",75.0704225352113,4.31842664011857
2006,"Manitoba","Provincial CPI (2021=100)",76.5492957746479,4.33793492251399
2007,"Manitoba","Provincial CPI (2021=100)",78.0985915492958,4.35797202274315
2008,"Manitoba","Provincial CPI (2021=100)",79.8591549295775,4.38026451968048
2009,"Manitoba","Provincial CPI (2021=100)",80.3521126760563,4.38641838525486
2010,"Manitoba","Provincial CPI (2021=100)",80.9859154929577,4.39427525675008
2011,"Manitoba","Provincial CPI (2021=100)",83.3802816901408,4.42341185083674
2012,"Manitoba","Provincial CPI (2021=100)",84.7183098591549,4.43933175136746
2013,"Manitoba","Provincial CPI (2021=100)",86.6197183098592,4.46152748375925
2014,"Manitoba","Provincial CPI (2021=100)",88.2394366197183,4.48005399028885
2015,"Manitoba","Provincial CPI (2021=100)",89.2957746478873,4.49195417038996
2016,"Manitoba","Provincial CPI (2021=100)",90.4225352112676,4.50449351964269
2017,"Manitoba","Provincial CPI (2021=100)",91.9014084507042,4.52071635514958
2018,"Manitoba","Provincial CPI (2021=100)",94.2253521126761,4.54568927608096
2019,"Manitoba","Provincial CPI (2021=100)",96.3380281690141,4.56786313357528
2020,"Manitoba","Provincial CPI (2021=100)",96.830985915493,4.57296704549346
2021,"Manitoba","Provincial CPI (2021=100)",100,4.60517018598809
1901,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1902,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1903,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1904,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1905,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1906,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1907,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1908,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1909,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1910,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1911,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1912,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1913,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1914,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1915,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1916,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1917,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1918,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1919,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1920,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1921,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1922,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1923,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1924,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1925,"Saskatchewan","Provincial CPI (2021=100)",NA,NA
1926,"Saskatchewan","Provincial CPI (2021=100)",7.44702216066482,2.00781424250827
1927,"Saskatchewan","Provincial CPI (2021=100)",7.51662049861496,2.01711663517058
1928,"Saskatchewan","Provincial CPI (2021=100)",7.65581717451524,2.03546577383878
1929,"Saskatchewan","Provincial CPI (2021=100)",7.79501385041551,2.05348427934145
1930,"Saskatchewan","Provincial CPI (2021=100)",7.23822714681441,1.97937630718773
1931,"Saskatchewan","Provincial CPI (2021=100)",6.05505540166205,1.80089352670094
1932,"Saskatchewan","Provincial CPI (2021=100)",5.15027700831025,1.63905050125053
1933,"Saskatchewan","Provincial CPI (2021=100)",5.15027700831025,1.63905050125053
1934,"Saskatchewan","Provincial CPI (2021=100)",5.28947368421053,1.66571874833269
1935,"Saskatchewan","Provincial CPI (2021=100)",5.35907202216066,1.67879082990004
1936,"Saskatchewan","Provincial CPI (2021=100)",5.56786703601108,1.71701204272024
1937,"Saskatchewan","Provincial CPI (2021=100)",5.84626038781164,1.76580220688967
1938,"Saskatchewan","Provincial CPI (2021=100)",5.56786703601108,1.71701204272024
1939,"Saskatchewan","Provincial CPI (2021=100)",5.91585872576177,1.77763666453668
1940,"Saskatchewan","Provincial CPI (2021=100)",6.12465373961219,1.81232222252457
1941,"Saskatchewan","Provincial CPI (2021=100)",6.47264542936288,1.86758490119961
1942,"Saskatchewan","Provincial CPI (2021=100)",6.75103878116343,1.90969638654974
1943,"Saskatchewan","Provincial CPI (2021=100)",6.89023545706371,1.93010525818095
1944,"Saskatchewan","Provincial CPI (2021=100)",6.95983379501385,1.94015559403445
1945,"Saskatchewan","Provincial CPI (2021=100)",6.95983379501385,1.94015559403445
1946,"Saskatchewan","Provincial CPI (2021=100)",7.23822714681441,1.97937630718773
1947,"Saskatchewan","Provincial CPI (2021=100)",8.00380886426593,2.07991753640961
1948,"Saskatchewan","Provincial CPI (2021=100)",9.11738227146814,2.21018273124751
1949,"Saskatchewan","Provincial CPI (2021=100)",9.46537396121884,2.24764029378241
1950,"Saskatchewan","Provincial CPI (2021=100)",9.67416897506925,2.26945934117705
1951,"Saskatchewan","Provincial CPI (2021=100)",10.5789473684211,2.35886592889264
1952,"Saskatchewan","Provincial CPI (2021=100)",10.6485457063712,2.36542332943879
1953,"Saskatchewan","Provincial CPI (2021=100)",10.7181440443213,2.37193801045999
1954,"Saskatchewan","Provincial CPI (2021=100)",10.7877423822715,2.37841052496561
1955,"Saskatchewan","Provincial CPI (2021=100)",10.8573407202216,2.3848414152959
1956,"Saskatchewan","Provincial CPI (2021=100)",10.9269390581717,2.39123121339467
1957,"Saskatchewan","Provincial CPI (2021=100)",11.2749307479224,2.42258174327874
1958,"Saskatchewan","Provincial CPI (2021=100)",11.4837257617729,2.44093088194694
1959,"Saskatchewan","Provincial CPI (2021=100)",11.6229224376731,2.45297922046311
1960,"Saskatchewan","Provincial CPI (2021=100)",11.7621191135734,2.46488412296943
1961,"Saskatchewan","Provincial CPI (2021=100)",11.8317174515235,2.47078384509662
1962,"Saskatchewan","Provincial CPI (2021=100)",12.040512465374,2.48827700254414
1963,"Saskatchewan","Provincial CPI (2021=100)",12.1797091412742,2.49977138196987
1964,"Saskatchewan","Provincial CPI (2021=100)",12.2493074792244,2.50546940308451
1965,"Saskatchewan","Provincial CPI (2021=100)",12.4581024930748,2.52237121388711
1966,"Saskatchewan","Provincial CPI (2021=100)",12.8060941828255,2.54992116565534
1967,"Saskatchewan","Provincial CPI (2021=100)",13.1540858725762,2.576732423106
1968,"Saskatchewan","Provincial CPI (2021=100)",13.7108725761773,2.61818913678435
1969,"Saskatchewan","Provincial CPI (2021=100)",14.1980609418283,2.65310540189058
1970,"Saskatchewan","Provincial CPI (2021=100)",14.4764542936288,2.67252348774768
1971,"Saskatchewan","Provincial CPI (2021=100)",14.6156509695291,2.68209293876383
1972,"Saskatchewan","Provincial CPI (2021=100)",15.3116343490305,2.72861295439872
1973,"Saskatchewan","Provincial CPI (2021=100)",16.3556094182825,2.79457092219052
1974,"Saskatchewan","Provincial CPI (2021=100)",17.8171745152355,2.88016285252592
1975,"Saskatchewan","Provincial CPI (2021=100)",19.6963296398892,2.9804323056896
1976,"Saskatchewan","Provincial CPI (2021=100)",21.5058864265928,3.0683266849441
1977,"Saskatchewan","Provincial CPI (2021=100)",23.593836565097,3.16098551542681
1978,"Saskatchewan","Provincial CPI (2021=100)",25.6817867036011,3.24578205208689
1979,"Saskatchewan","Provincial CPI (2021=100)",27.8393351800554,3.32644995515434
1980,"Saskatchewan","Provincial CPI (2021=100)",30.6786703601108,3.42356763658046
1981,"Saskatchewan","Provincial CPI (2021=100)",34.2797783933518,3.53455562910401
1982,"Saskatchewan","Provincial CPI (2021=100)",37.3961218836565,3.62156700609364
1983,"Saskatchewan","Provincial CPI (2021=100)",39.7506925207756,3.68262726285489
1984,"Saskatchewan","Provincial CPI (2021=100)",41.4127423822715,3.72358862048595
1985,"Saskatchewan","Provincial CPI (2021=100)",42.9362880886427,3.75971734457446
1986,"Saskatchewan","Provincial CPI (2021=100)",44.1135734072022,3.78676752210748
1987,"Saskatchewan","Provincial CPI (2021=100)",46.2603878116343,3.83428604007197
1988,"Saskatchewan","Provincial CPI (2021=100)",48.3379501385041,3.87821696929769
1989,"Saskatchewan","Provincial CPI (2021=100)",50.4847645429363,3.92167159854398
1990,"Saskatchewan","Provincial CPI (2021=100)",52.6315789473684,3.9633162998157
1991,"Saskatchewan","Provincial CPI (2021=100)",55.4016620498615,4.01460959420325
1992,"Saskatchewan","Provincial CPI (2021=100)",55.9556786703601,4.02455992505642
1993,"Saskatchewan","Provincial CPI (2021=100)",57.6869806094183,4.05503150870216
1994,"Saskatchewan","Provincial CPI (2021=100)",58.7257617728532,4.07287850232722
1995,"Saskatchewan","Provincial CPI (2021=100)",59.8337950138504,4.09157063533938
1996,"Saskatchewan","Provincial CPI (2021=100)",61.01108033241,4.1110554924715
1997,"Saskatchewan","Provincial CPI (2021=100)",61.7728531855956,4.12346399911533
1998,"Saskatchewan","Provincial CPI (2021=100)",62.6038781163435,4.1368272269275
1999,"Saskatchewan","Provincial CPI (2021=100)",63.7119113573407,4.15437153657841
2000,"Saskatchewan","Provincial CPI (2021=100)",65.3739612188366,4.18012403268082
2001,"Saskatchewan","Provincial CPI (2021=100)",67.3130193905817,4.20935367099576
2002,"Saskatchewan","Provincial CPI (2021=100)",69.2520775623269,4.23775314551746
2003,"Saskatchewan","Provincial CPI (2021=100)",70.8448753462604,4.26049263248695
2004,"Saskatchewan","Provincial CPI (2021=100)",72.4376731301939,4.28272651116019
2005,"Saskatchewan","Provincial CPI (2021=100)",74.0304709141274,4.30447677756036
2006,"Saskatchewan","Provincial CPI (2021=100)",75.5540166204986,4.32484785236839
2007,"Saskatchewan","Provincial CPI (2021=100)",77.7008310249307,4.35286595261796
2008,"Saskatchewan","Provincial CPI (2021=100)",80.2631578947368,4.38531070987507
2009,"Saskatchewan","Provincial CPI (2021=100)",81.0941828254848,4.39561123013304
2010,"Saskatchewan","Provincial CPI (2021=100)",82.202216066482,4.40918226114499
2011,"Saskatchewan","Provincial CPI (2021=100)",84.4875346260388,4.43660400426262
2012,"Saskatchewan","Provincial CPI (2021=100)",85.803324099723,4.45205774816446
2013,"Saskatchewan","Provincial CPI (2021=100)",87.0498614958449,4.46648107512557
2014,"Saskatchewan","Provincial CPI (2021=100)",89.1274238227147,4.49006707413145
2015,"Saskatchewan","Provincial CPI (2021=100)",90.5817174515235,4.50625239855246
2016,"Saskatchewan","Provincial CPI (2021=100)",91.5512465373961,4.51689888694695
2017,"Saskatchewan","Provincial CPI (2021=100)",93.0747922437673,4.53340338761841
2018,"Saskatchewan","Provincial CPI (2021=100)",95.2216066481994,4.55620687663599
2019,"Saskatchewan","Provincial CPI (2021=100)",96.8836565096953,4.5735108412008
2020,"Saskatchewan","Provincial CPI (2021=100)",97.4376731301939,4.57921292364971
